,word_id,word,up_votes,down_votes,author,definition
534295,1424406,horace mann,241,158,21aa9b41,my brother went to horace mann. he is a dick. ergo.
535043,1426213,man nap,154,22,f2840ee,Getting some quality sleep where you shouldn't be.
535494,1427262,man cold,260,128,59f28e7c,"Only men get man colds. They are the worst colds you can get. They are near-fatal. Your man will not be able to lift a finger for two weeks, if you are lucky."
535571,1427423,man boobs,1238,416,6b6a090d,"You morons are all fucking stupid. Gynecomastia comes in two forms, one is caused by obesity where sometimes the fat stores in the chest area, creating breasts in fat men. The other one is caused by a hormone imbalance in men that causes breast tissue to form underneath the nipple area, so even if you are skinny, you can have big boobs. Don't feel bad if you have it, as there is a cure. Most plastic surgeons generally charge $1000-$5000 dollars to do a glandular excision and/or liposcution in that area, removing them. ;; Many celebrities have it too, like Simon Cowell, for example."
535611,1427509,rubber band man,543,78,16251d00,"'I'm the Rubber Band Man. It's basically about being back in the Trap, like when we start our day, we might have two, three, rubber bands on our wrist. According to how much dope we had to sell. By the end of the day, if we sold all our dope we don't have any more rubber bands around our wrists cause they wrapped around money. So the Rubber Band Man is just my little way of holding on to that lifestyle just a little bit. I ain't selling no more dope, but I'm still wrapping rubber bands around money.' - from a whudat interview with T.I."
536102,1428579,assman,173,71,e03945d,"See [Cosmo Kramer], the assman."
536273,1429024,Egomaniac,187,52,99d7cbfa,A person whose ego exceeds both his intelligence and his capacity to see beyond his own personal interests.
536511,1429626,Hitlery Rodman Clinton,294,51,70e922b3,An ugly ass anti-semitic basketball playing lesbian.
536575,1429789,manchester,279,413,8db1cbbd,An interesting city in England. Manchester is loacted north of London and is more towards the middle of the isle. It is said to have a really good soccer team.
536673,1430030,mangal,205,81,d80fa691,This means gipsey and its offensive. It is greatly used in Bulgaria.
536971,1430750,armani exchange,112,223,9f57c1b7,"The lowest level of Armani that was created for the masses who wish to look elegant and can't do it properly with Black Label, Collezioni, or Jeans. Meanwhile, people with money wish that they would learn their place and stop trying."
536977,1430776,man crush,311,237,dcd579c0,"Man crush is a very strong feeling that one straight man has for another, bordering on the romantic but not the sexual. It's love allright but not the love that makes you want to get into his pants. It can be stronger than the love between a man and a woman."
537573,1432224,manaconda,114,25,f47c8e91,a very large penis. a combination of the two words 'man' and 'anacanda' which is the longest snake in the world.
538030,1433483,Flying Dutchman,102,107,297d6f16,"When recieving oral sex from a woman, just prior to climax, scream out in a high pitched voice 'Here comes the flying dutchman!'. This is the ultimate example of Brunsky-esque sexual tomfoolery."
538915,1436127,Batman And Robin,241,114,f6b3b7ba,"Either a term for a gay couple, or a man and a very young boy whom you suspect are engaging in sexual intercourse. If you spot the latter please report it to the local authorities."
539022,1436420,manslaughter,135,33,b180d888,"Manslaughter can be defined as: The unlawful killing of another human being without malice aforethought. It can be divided into two catagories: Voluntary Manslaughter and Involuntary Manslaughter. ;; 1) Voluntary manslaughter occurs when one person intends to kill another but does so suddenly and as a result of great personal distress. The Wrongdoer must have become very upset before the killing. ;; 2) Involuntary manslaughter occurs when one person, while commiting an unlawful or reckless act, unintenionally kills another. ;; However, if the reckless act that got the person killed was a felony, it would be considered murder not manslaughter."
539363,1437500,mangina,1067,1082,b241f74a,"1) Derisive term for a man's feminine side - especially when he's picky, touchy or emotional about something seemingly minor. ;; 2) The bumhole - almost always a man's, and usually used in a prison-dating context."
539639,1438281,car salesman,101,64,f22072ad,"One of the shiftiest occupations a someone can take. Car salesman earn commision from whatever they sell and will lure, lie, mislead, con, deceive people into buying a car. This is especially true when it comes to used cars."
539929,1438889,man utd,166,174,82ecb3fd,"A truely magificient football club basking in great history and success achieved within the beautiful game. (Soccer) Simply the most talented bunch of individuals to step forth onto a football pitch anywhere in the world combined into one combined unit of 11 players. A bunch of men united by spirit, footballing ability and marketing."
539978,1438999,my chemical romance,163,169,7b2663ec,An awesome band from New Jersey that sadly has been on [MTV]. ;; Gerard Way-vocals ;; Mikey Way(Gerard's brother)-Bass ;; Frank Iero-Guitar ;; Ray Toro-Guitar ;; Bob Bryar-Drums
540607,1440515,My Chemical Romance,163,204,86ceca8b,"A band that teenybopper girls love because the lead singer is 'hot'. MCR is just another copycat 'emo' wannabe band that sucks shit. Their music is a disgrace to real bands such as The Beatles, The Who, The Rolling Stones. etc. Why can't there be music like that anymore? MCR is also another word for shit"
540796,1440939,My Chemical Romance,651,669,fa31c51d,"What can I say about this band....hmmm, well first off, if you like them you are either a fucking fag, or have serious mental problems. They are not punk, they ARE emo, wich by the way, is short for 'emotional rock'. they suck, are gay and the singer looks ike a fucking girl. listen to some real music, you fucking faggots."
541074,1441681,eric cartman,1050,341,2d9207b,a realy cool dude who should be president.
541105,1441747,manginia,168,30,840c7564,A males hairy asshole
541106,1441748,manstration,9742,2668,840c7564,When a man is going through his monthlies
541199,1442017,Sherman,121,80,4dd6ab5e,"Noun: An American. Cockney rhyming slang: Sherman Tank - Yank. Real Cockney rhyming slang only uses the first word, which sounds nothing like the thing being referred to in the rhyme so secrecy is preserved."
542186,1444892,black man's pinch,376,102,4dd6ab5e,"Noun: A bubble of blackened blood trapped under the skin, as is caused when one traps a web of skin in a mousetrap, hits it with a hammer or similar. White kids in the 1970s said it."
542327,1445269,commando,491,310,9a40e2b5,From the Scottish term 'going regimental' meaning to stay traditional and not wear undergarments under one's kilt.
542372,1445387,german,213,285,e4ba3441,"Basically what I got from everyone else's description is: ;; Germans are strong, angry, Nazis with large penises that used to beat up France as a hobby."
542880,1446675,My Chemical Romance,290,296,fcad500,"The best fucking band ever, great lyrics, singing and music, not to mention Gerard Way is gorgeous."
543028,1447069,white man,755,409,90faf2b5,"Well well well, its sad to think that ethnic minorities will constantly abuse the ordinary white man, yet pathetically brag on about Racism whenever he says something to retort. In fact, if it wasnt for the white man, there wouldnt even BE a united states of America, so i dont see where the logic is that it should be owned by black people. Why cant you all just shut up and let other people get on with their fucking lives. Its not 'gangsta' or 'cool' in anyway to be racist, so stop being stupid hipocrites and let the world be."
544809,1452189,Batman,768,268,3c650f9b,"(1) n. Created in the late 1930s, by Bob Kane, Batman's main goal was to be a 'superhero who would sell as well as [Superman].' ;; Like Superman, he was given a tragic past and a reason to fight. But, unlike Superman, he has no powers of his own, and relies on theatrics and fear to get his message across. He dresses like a Bat to invoke fear in his enemies. ;; He has a network of associates known as the 'Bat Family,' which includes: [Nightwing] (Dick Grayson, the first Robin), [Robin] (Tim Drake), Oracle (Barbra Gordon, the first Batgirl), [Batgirl] (Cassandra Cain). Previously, he has taken Jason Todd and Stephine Brown under his wing, both as Robins (the second and fourth ones, respectively), and both were murdered. ;; Since his inception, Batman has appeared in comic books, cartoons, movies, plays, and various other media. He currently stars, and is featured, in various DC comic books. ;; also see: The Batman, The Dark Knight, Bruce Wayne, vengence, the night ;; (2) v. To suddenly appear or disappear without bringing attention to oneself, as Batman is known for doing."
546013,1455658,Woman,1109,1534,e2ac4348,"i'm amazed that some of these misogynists can say 'ALL' women are whores,bitches,etc. because i find it pretty imposssible that they've taken the time to get to know half of the world's population. oh wait no...their past experiences with women have been bad, so this gives them the right to judge 3 BILLION people."
546386,1456721,man utd,197,202,1db9527b,"Largely unliked Football (Soccer Team), Successfull for a forgettable period in the mid to late nineties. Now in steep decline, and managed by a whiskey nosed scotsman showing early signs of dementia. Notable for their low level of European cups and tend to handle themselves with little or no dignity. Most fans are glory hunting individuals who live nowhere near Manchester."
546874,1458025,white man,371,363,c1e06907,the white guys is the reason all us niggers are over here and they pay me and my mommas rent so get off they back
547046,1458505,hyman,489,377,927fd249,"Common misspelling of hymen, which is a membranous fold of tissue that partly or completely occludes the vaginal orifice. ;; Also known as the cherry."
547127,1458723,german,2271,902,a02f5f68,Orgasmic beings residing in the land of Germany. ;; They be gorgeous and they have a very sexy language ;-)
548341,1462090,eli manning,276,364,f9e8c6c7,aka Eli 'I Want My Mommy' Manning. A semi talented quarterback who did not wean off his mothers teat until he turned 22 years old. Also dependent on his father to make decisions for him. Not to mention he cannot own up to his own mistakes.
548956,1463764,Battyman,166,43,4996f3c7,A jamacian vernacular to describe Homesexuals
550561,1468389,German,112,665,6f04802d,"Some of the meanest, most untolerant, closed minded, people in all of europe. I should know as I live there, so all of yuo who define germany as 'omg!! iTs LiKe so KeWl, and TheIr Not NaZis' should get a fucking clue, as german has a huge facist population and the Nazi party still runs for elections in states like bavaria, winning up to 25% of the overall vote. So, get your facts straight. Germans also have no fashion sence as one look on the street will reveal. They try to dress black or like soccar players and say bad things about america any chance they get yet turn around and listen to all american bands. Even the German radio plays mainly American songs. Dont beleive me? Look it up!"
550754,1469019,man whore,1315,714,90aa439b,"A sexually active, promiscuous, younger man who often wears alot of flashy jewelery, has greased down, or spiked up hair and keeps a 'chicktionary'. He is well known at most health clinics and may have an STD named after him in his honour. He knows many girls but will often mix up or forget thier names. He will commonly have one or more illegitimate children (though not always, especially in the amateur stage) and his relation with other men is often strained, due to past encounters with girlfriends or wives."
550806,1469195,joe Trohman,464,80,47c04381,"Guitarist and backup vocalist for the Chicago softcore band, Fall Out Boy. He has a jewfro which makes him cooler than anyone else on the face of this planet."
551158,1470152,gorman,237,158,e1253884,The act of ejaculating into somebody's food without them knowing
551392,1470836,mushroom management,114,20,e4759fff,"A management philosophy prescribing to the theory that to best motivate your employees, you must at all times: ;; 1. Keep them in the dark. ;; 2. Feed them full of shit. ;; This form of management applies to every situation where management is involved. Be it passing on critical information to employees, or informing people of policy change and company announcements. The entire purpose is to be as vague and unresponsive as possible. The ultimate culmination and success of this management style can be found when people draw comparisons to management and a black hole. Where resources and information go in and nothing comes out."
551401,1470864,man eater,468,201,dad041b6,A man-eater is usually a girl who's really pretty. she acts all nice and sweet when she's really seeing a couple of people behind your back as well. She can get any guy and break their heart.
551873,1472281,cartman,3053,266,75231069,"The whole reason to watch south park. He is the fattest kid and the funniest. Watches Terrence and Philip while eating cheesy poofs, snacky cakes, chocalate chicken pot pies, and powerdered donut pancake suprise. Has a slutty mom who spoils him. Always coming up with some stupid idea to get rich or get revenge."
552069,1472834,Sandman,148,59,98311a23,Sandman is a comic book series written by Neil Gaiman and illustrated by various artists.
552424,1473883,My Chemical Romance Fans,502,381,ef5ed605,"Really poser kids who think they can take over the world, claiming that Gerard Way is their god and so on. Now, let's of course, make clear that these kids only got to know of the band because Mtv completely commercialized Helena and now they dress in black and red because they're such goth-punk-rockers. These kids also claim that their kids will beat up other kids and that Frank Iero is one of the sexiest men alive. ;; It would be relevant to add that most of these kids listen to Simple Plan, Good Charlotte and Avril Lavigne and thus, deserve death. ;; Btw, I have nothing against the <i>real fans</i>, just that these ones suck major donkey cock."
552527,1474179,My chemical romance,148,226,3bfaf4be,A band that needs it's balls to drop.
552646,1474471,mangina,124,143,ebc6c61,A guy that acts too much like a girl in a relationship. Very clingy and codependent. Cries a lot and expects the girl to have no other life but the one with him.
552647,1474472,mangina,192,241,56d59349,"Slang used in [MMORPG] to represent a male playing a female character. Usually the role play is very convincing and done to the end of getting free currency, hard-to-get items, etc. from others."
553163,1475657,manchester,293,334,b6afa1d2,"Manchester is a city situated to the east of a great city. The great city being Liverpool. Mancs are jealous of Scousers naturally because Scousers are the better looking and the more educated. Liverpool has HIGHER EMPLOYMENT rates and LOWER CRIME rates Manchester. This can be read on any government statistic site. So for all you Manc, inbred, twat headed, arse licking, fuck monkeys do yourselves a favour, dress nicely, get a hair cut then go and hang yourselves in your mud huts which are situated in an illustrious estate called MOSS SIDE MAN!"
553326,1476077,mandingo,125,236,45f7549b,a large penis usually on an african american
554051,1478261,manchester,170,310,95989bb0,"City Situated in north-west england. The city centre is full of diverse cultures and friendly people. Famous for its sports teams and stadiums. The football does cause trouble thow, usuall between manchester and liverpool, (visited liverpool this year, and it was lovely. And yes, i am a manc.) ;; However, the city (as most, largley populated citys do) does have its ghettos. Which, is most used as the steriotype of the city, see: [tameside]."
554265,1478832,man,1868,920,a0c3790b,a gender of the human species wich porn occipies 90% of his brain ;; a word guys use wen they say hello to their fellow frinds
554393,1479152,gary coleman,445,287,4f44944a,"the little boy, who is now just a little man, who became famous simply by the saying, ['what you talkin bout willis?']."
555113,1481223,manic,101,42,e45d0fbb,1. Someone who is manic depressive ;; 2. Something that is insanely [cool] ;; 3. A member of the band Manic Street Preachers
555414,1482072,Eric Cartman,1561,184,5327e6a4,"A foul-mouthed, mean spirited, sexually confused, and morbidly obese 9-year-old on South Park."
556160,1484331,jewmanji,110,45,d7fd7f62,A Jewish version of the classic board game 'Jumanji' in which players must survive the Holocaust as players in Jumanji had to survive the forest.
556594,1485979,man nod,181,23,8cbfc12c,"A nod of the head similiar to the [nod of acknoweldgement] but can be used between any two men, not just friends. It is an unspoken greeting in which only another man nod is an appropriate response. Signifies acceptence of presence. Verbally may be interpretted as a grunt. Universal language with no ehtnic restrictions."
557156,1487960,mang,914,317,7a6fab79,"made popular by Al Pacino in Scarface, 'mang' is the term for 'man', but skewed into sounding like 'mang' when said with the cuban accent of 'Tony Montana'"
558035,1491319,manchester,290,320,67a4cb1e,"A shit place that SCALLIES, SHIT HEADS, BIG HEADS, SHOW OFFS, NO BRAINERS, MANCS AND 'PEOPLE-WHO-RECKON-THEY'RE-HARD' come out of. also contains the cheating USA team Man Ure, USA USA USA USA!!!"
558077,1491448,manual transmission,282,51,4c4ab80a,"Also known as a [stick shift] or [manual]. Only true drivers and/or racers have experienced this kind of thrilling way of driving. Usually will result in ultimate bordedom if switched back to [automatic transmission]. Not a car for [Wimps], [posers], and of the sort."
559618,1496571,German,458,251,2b45d064,"Someone of German descent; A common language spoken throughout Europe. Germans are NOT Nazis, or always Angry and Aggressive. In fact, French people tend to be more aggressive then Germans. Stop calling Germans angry or Nazis, because they aren't always angry and they NEVER WILL BE NAZIS AGAIN! They were FORCED to be Nazis because of Hitler's strong stranglehold on Germany."
559758,1497144,Eric Cartman,610,181,ecabe35b,"The fat friend. He's a pimp, an O.G., He's the s#!+."
559973,1497833,negromancer,299,100,d3da787d,"Same as a necromancer, but instead communicates with spirits of black people rather than spirits of dead people, better known as the art of negromancy. Also gives better use to the term 'black magic'. Oh yeah, and he's black."
561324,1502390,romania,1446,649,5216a245,"TOtally different from the artificial US mentality. Romania is a country with a beutifull landscape, the second largest building in the world, the place of birth of the inventor of the jet plane engine 'Henri Coanda' and many others. It is commonly known for the myth of Count Dracula, which I can tell you didn't exist, but it is a cool story anyway. ;; It is wrong to compare it to the US beacuse Romania has a history, unlike America. Gas is much more expensive because we do not drop bombs on arabs to get cheap gas which we irratioanlly consume driving 5-6 liter engines in huge useless pick-up trucks. ;; Chicks are actually very very HOT. Unlike other comments said, people have cars that they drive around. They also walk, because distances are not ridiculously huge like in America. ;; Romania is famous for its leading scientists and researchers. ;; It also has a great soccer team and awsome gymnasts. ;; In romania people feel free because the rules are not riduculous as in other countries and people have a great social sense so they behave in an educated and nice manner not because the laws tell them to, but because they fell like it."
561622,1503644,real man,202,105,449c4af7,"1) an insult women use ;; 2) women want a 'real' man. someone who will treat her right and meet her needs. such as sex, love, romance. ;; 3) A man who will stick up for a woman; Protect her. ;; 4) A man who's a 'man' ;; 5) A man who's confident"
561908,1504569,man-whore,224,183,66a34a7c,"A guy who has sex a lot and loves to flaunt himself;he is always thinking about sex, thinks he is great at having sex, and tries to sleep with almost every girl he meets; most likely has a kid and/or an STD"
562125,1505241,tasmania,204,130,72c66933,"A beautiful island off the south-east coast of the mainland of Australia. Some of these poofy mainland people need to grow up. EVERY Tasmanian you will find has just one head. The Tasmanians I have met besides being helpful and friendly have no need to shag sheep either dickheads. While I'm on the subject does anyone here mention the fact that some mainlanders shag dingoes? Let's leave that one, shall we, for fuck's sakes give it a bone. You people who carry on with this shit, are just a bunch of reetarts. the point is Tasmania is in a state of economic and cultural revival and any of you people who carry on with this two-heads, sheep-shagging and shit, need to get a fucking life!"
562256,1505704,busier than a one legged man in an ass kicking contest,353,142,de1c78f1,"To be so busy, that you will never finish your job"
563718,1510482,Amani,411,227,527e486c,[ama-knee] In Arabic it means wishes and is a girl's name. In Sawahili it means Peace or Love.
563975,1511384,fireman,276,164,85cd93cc,the weed man who sells fire weed
564333,1512678,human right,157,116,7bcd12ba,"noun, countable usually plural ;; 1) a basic right that every person should have to be treated in a fair equal way without cruelty ;; 2) the U.N. Commission on Human Rights ;; a Commission of the United Nations and whose members include China, Libya, Senegal, Sudan, and Zimbabwe all of which are notorious for gross violations of human rights"
564335,1512682,pac-man,118,53,64b14a53,Someone who enjoys large quanities of over the counter pills.
564540,1513425,manliness,127,49,7fa3e699,"1. The quality of being [manly] and [masculine]. ;; 2. Also a slang term for the size of a man's genitals. In particular, it means that the bigger your privates are, the more 'manly' you are."
564745,1514130,mangina,256,428,ebc9e9fa,"what is formed when a man takes his genetalia and tucks them between his legs, leaving an empty area where his penis would otherwise be."
565003,1515016,manchester,412,434,3f502ef9,"the wannabe Second City of the UK. it's not even a third of the size of Birmingham, in fact it's not even the 3rd biggest city of the UK. it has 2 footy teams, with one wearing red and brainwashing little children to become glory hunters and not give a toss about their local team. it is officially the most violent city in the UK (even being nicknamed ''Gunchester'') has the highest ASBO rate in the UK. for some reason the government bums Manchester and gives them loadsa money to build some white elephant buildings (probs cuz their all glory hunters too) that the cultureless people will probably end up burning down. all mancs will talk like Liam Gallacher and end up in at least one bar-brawl a week, they'll scrounge off benefits and have at least 12 children who will end up breeding with eachother by the time they're 13 and spawn more ASBO babies. the capital city of Chav Land."
565912,1518120,eli manning,381,358,7f796d0,"incredible young giants qb. made the right decision not playing for the chargers, who without LT would be about as good as your local high school team. jealous chargers fans may say otherwise, but eli has the potential to be the next great thing in the NFL."
566152,1518965,Germany,499,90,a11bed11,"The most populous country in central Europe, Germany was divided into two separate states from 1949 until 1990 when the GDR (East Germany) was absorbed into the FRG (West Germany). Germany is an industrial giant and has the largest economy in Europe."
566423,1519963,communist manifesto,233,101,917eaf50,A document writen by Karl Marx AND Frederick Engels describing their ideal Communist soceity.
566574,1520450,anger management,263,138,4720e507,When a person manages to stay angry throughout their life- no matter which direction it is taking
567188,1522560,Redman,565,80,6b320be3,"one of the dopest rappers out there, has funky beats ;; Frequently works with Method Man on music, film, and TV shows and ads. ;; Member of Def Squad featuring Keith Murray and Erick Sermon ;; His first Album, 'Whut? Thee Album,' is considered a hip-hop classic. ;; Is signed to Def Jam Records."
567278,1522845,man slut,293,236,a15dd366,"Guys that get around. Yeah, you know who you are!"
568287,1526360,wasteman,252,217,2ccaaf32,(noun) A frequent insult principally aimed at a 'waste of space'
568984,1528869,My Chemical Romance,111,115,65d2ccb1,My Chemical Romance Are Not Emo...
569168,1529572,Woman Juice,108,55,49fd93e9,"Vaginal secretion, often enjoyed by men and women alike,."
569383,1530330,german,327,181,ce0ca4a2,Makers of the best firearms in the world.
570321,1533495,Natalie Portman,255,1379,7184f04b,"Real name: Natalie Hershlag Use of Stagename: good call. A Semite Goddess, whom I'd gladly give up my heterosexuality for!"
570480,1534075,Woman,157,501,b00944be,n. Irrational being. (French in origin)
570636,1534616,manuela,177,93,8c36e520,A very attractive atractive office woman working in the industry of business reaserch. More commonly brunette then blonde.
571589,1538311,the spiderman,342,94,ded21d4e,"while taking your sexual partner from behind, you proceed to ejaculate into your palm. When your partner turns around for post sex cuddling. You throw your 'seaman filled hand' forward, releasing its contents on your partner's face, while screaming 'SPIDERMAN'."
573990,1546514,May-December Romance,358,210,c7e9ecd7,"A May-December Romance is an instance of the romantic involvement of two parties between whom there is a considerable age difference, often because one individual has an ulterior motive, such as money, status, etc. ;; The reasoning behind this designation is that while one person is young and in the 'Spring' of his or her life (thus, 'May'), the other is in 'Winter' (ergo, 'December'). ;; However, there are many instances, as in the case of my own clandestine affair with the most wonderful woman in the world, where the age difference is either inconsequential or isn't even a considerable enough gap to constitute a May-December Romance."
574616,1548923,mangina,435,442,8fd9ec4b,"a male anus, an guy's ass, backdoor for the manwhore"
575125,1550675,romanian,489,547,53731834,Only the bestest person in the entire world. Fo sho and to the max...no joke.
575514,1552106,Bromance,210,266,f4e526e9,Bromance. Adj. ;; A genre of cinema in which a romance is developed between two male characters.
576808,1557090,mandie,390,172,3081945,the most BEAUTIFUL girl ever
576833,1557169,white man,1457,619,bdff8878,"Apparently to blame for the troubles of everyone else. Expected to stand there and take abuse from everyone else because he deserves it for starting slavery and apparently everything else that's bad. Let's review some history here kiddies. Anglo-saxon whites are almost exclusively responsible for everthing that all the other whites get blamed for by minorites. Anglo-saxon whites and western europeans were the vast majority involved in slavery and colonization not to mention the Spanish(who seem to receive no hate for it...hmmm) and they have caused ignorant people to blame all white people for the things some did. There is another huge fucking chunk of the 'white man' in europe that has been through its own private stuggles its own vicious slaveries, and we do not generalize the blame. Nor do we blame everyone for our own fucking problems. DEAL WITH IT."
576967,1557565,mantastic,186,78,74d19de9,Having the qualities or characteristics of one who is of the male gender.
577179,1558166,renaissance man,284,106,f3865593,"Someone who does a little bit of everything, yet does it extremely well."
577440,1558888,Ironman,130,63,49feb2f6,Comic book character. Alter ego is [Tony Stark]
577632,1559481,man,4153,3255,24ccac02,A miserable little pile of secrets!
578300,1561500,manboobs,152,60,63428439,a fine spice used in gourmet italian cooking.
578368,1561740,Germany,141,752,13136ea2,"The country which brought forth two World Wars, Communism and Nazism, concentration camps and death camps, engineered and executed the Holocaust. Germany invented propaganda and blitzkrieg. Germany invented carpet bombing of the cities, crematoria and Cyclone B. They invented superhuman and subhuman as well as starving children to death. Germans used human hair to stuff pillows and human skin to make gloves. ;; Germans also make good cars."
578853,1563167,manorexia,1876,634,bc7c091e,"The male version of [anorexia nervosa], or any general wasting away of the body in men. This eating disorder is commonly seen in starlets but is now affecting men, where they take on the wasted appearance of starving children in third world countries. ;; This is more often a drug-related issue in men, than the self-esteem issue it manifests as in women."
579677,1565252,horace mann,292,147,7802381,"One of the three hill schools, known for its overcompetitiveness compared to fieldston, which is comparable, and riverdale, which is useless. It is known in the NYC private school circuit for the infamous swiffer girl incident."
579978,1566080,manipulator,367,82,9a2272ac,"A little fucking liar who tries to make friends by tricking people into hating each other, and makes people believe his/her story to make people hate another person(s)"
580711,1568243,man,1659,731,21dbdd6e,a 'man' can be defined by one of these three terms ;; 1) [dork] ;; 2) [jerk] ;; 3) [taken]
580937,1568833,Turdsman,565,239,a52fa093,A circus worker whose main job is cleaning up animal excrement. Also could be a low level worker at an office or other employment.
581967,1571530,German,221,129,981bf3cf,"A German is somebody who is from germany, that is a little country in the center of [europe] it called by themselves Deutschland. ;; They are not at all a [nazis]!! The german popolution hates them and called them 'ugly pigs'. ;; At the votes the nazis just got something under 2% and thats just because a lot of people think that the economy is bad because there are a lot of foreigner in the country. ;; Soccer is the germans favorite sport and they have very good beer! ;; Germans can drink wine and beer with 16years and high %stuff like wodka or whiskey with 18. ;; Germans are nice people and not aggressive or all time bad. They have a very big social network that keeps u from the baddest poor or helps u to don`t get homeless. ;; Germans give every year a lot of money to other countrys to help them in their econemy, only the netherlands spend more money for that in europe. ;; German hates the british people more than the french. ;; Germans are good people with a hard but nice language!"
582259,1572287,freshman,2108,479,5c138f27,a first year student in high school or college. For some reason upperclassmen seem to think that they are the lowest form of human beings ever to walk the earth.
582383,1572589,Wonder Woman,146,112,25d680c7,Batman's number one horny bitch.
583106,1574363,mantrum,9307,1246,9e6388e6,when a grown man throws a tantrum when he can't have his way.
584561,1578354,Girly man,224,85,4ea6f255,A man who either acts or looks like a girl.
585473,1581024,Anastasia Romanov,189,33,941dc86d,"Whoever wrote that other entry is an ignorant fool. Here who Anastasia really was. ;; Anastasia Nicolaievna Romanov was the youngest daughter of Nicholas II and Alexandra Romanov of Russia. In her youth, Anastasia was considered the tomboy of all the Grand Duchesses, preferring to climb trees than study her lessons. Anastasia could speak Russian, French, and English fluently.It was she who would spend hours cheering up her younger hemophiliac brother and heir to the Russian throne, Alexei, when he was ill. As the youngest daughter, most everything that could have been done had already done by the eldest three, so Anastasia took to being the infant terrible and carving for herself her special niche as the family clown. Some of the entertaining stories of her life and miraculous escape depicted her as under 10 when the family disappeared. She had just turned 17 when the family was murdered by the Bolsheviks.Anastasia and her sisters did not bear the title of Princess. They were referred to a Grand Duchesses, which is considered higher than the European ''princess.''"
585718,1581625,the heisman,225,75,d20a9dc,"the Heisman is a reference(the Heisman trophy being the most prestigious trophy in college football, see picture)of a boy/ or girl getting rejected while attempting to talk, dance, flirt or any sort of contact with another person"
586152,1582721,No Woman No Cry,438,94,88176b9e,"Contrary to popular belief 'No Woman, No Cry' was not a song written about getting over a girl. They are the words Bob Marley sings to his woman to assure her that he will return. Basically saying, No woman, don't cry. In the song the man is a travelling minstrel telling his woman he will come back for her."
586851,1584497,till lindemann,706,67,b2872356,Leader singer for Rammstein. Sex on two legs. Lyrical genius.
588645,1588794,iceman,124,119,7750dac3,Known as a striker to the UFC community. An extremely hard puncher who is the light heavy weight champion of the UFC
588662,1588840,12th man,278,350,cc7cb8b,"In football, it's the crowd. ;; When the away team is backed up near the goal post, the 12th man makes a lot of noise, making it hard to communicate and for the lineman to hear the snap count."
588779,1589162,George Foreman,116,43,7f93748b,Former heavyweight boxer and grill maker who was recently discovered to have no fingerprints due to a tragic accident in his early grill making life.
588892,1589493,manglish,143,58,921d49e0,"Colloquial version of the English language as spoken in Malaysia and it is a portmanteau of the word Malay and English. The language shares substantial linguistic similarities with Singlish in Singapore. In real essence, Manglish and Singlish are one and the same although there are a few slang words that exist in one and not in another. For all practical purposes, Manglish and Singlish are subsets of the same group. ;; Theoretically, English as spoken in Malaysia is based on British English and called Malaysian English. British spelling is generally followed. However, the influence of American English modes of expression and slang is strong, particularly among Malaysian youth. ;; Since 1968, Malay, or Bahasa Melayu, has been the country's sole official language. While English is widely used, many Malay words have become part of common usage in informal English or Manglish (also means Mangled English). An example is suffixing sentences with lah, e.g. 'Don't be so worried-lah', which is usually used to present a sentence as rather light-going and not so serious, the suffix has no specific meaning. Although Chinese dialects also make abundant use of the suffix lah and there is some disagreement as to which language it was originally borrowed from. There is also a strong influence from Mandarin, Cantonese, Hokkien, and Tamil, which are other major dialects and languages spoken in Malaysia. Manglish also uses some anachronistic British terms from the era of British colonization (see 'gostan' and 'outstation' below). ;; {source: wikipedia}"
589516,1591178,superman,132,203,5b9e5c34,"a) Superman is [the] last survivor of the planet Krypton. As is woefully unprepared homeland is subjected to a [prodigious]and catastrophic explosion, he is sent by his loving parents [to] Earth on a spaceship. He comes here and basically grows up on a farm until he realizes hes better than that. Than he moves to the city and proceeds to beat the shit out of everybody. ;; b) Anybody who performs such a tremendous [feat] as to be declared a 'superman'"
590643,1594572,luqman,122,29,ec5c0958,"absolute suaveness; being stylishly smooth, suave or perfect"
590895,1595442,armani exchange,299,105,2a1c80b1,"The most affordable 'armani' of them all, carrying the logo A X, generally geared toward the metro/uber_sexuals, and high middle and upper class young stylish audience. Their clothes are often fitting for the night life; and their most notable items are the super nice jackets, especially those moto-style jackets for both sexes, of which they offer many different designs each season."
591170,1596307,Entremaneur,483,212,94478b0c,Someone who makes a living selling bullshit to the masses.
